,dataset,sample_idx,length,rotation,curve_x,curve_y,beak_radius_start
323,107,M,2.125,1.5707963267948966,0.5,0.5,2.0
324,108,A,3.75,0.0,0.0,0.0,1.5
325,108,B,0.5,6.283185307179586,-1.0,-1.0,0.5
326,108,M,2.125,3.141592653589793,-0.5,-0.5,1.0
327,109,A,3.75,0.0,0.0,0.0,1.5
328,109,B,0.5,6.283185307179586,-1.0,-1.0,1.5
329,109,M,2.125,3.141592653589793,-0.5,-0.5,1.5
330,110,A,3.75,0.0,0.0,0.0,1.5
331,110,B,0.5,6.283185307179586,-1.0,-1.0,2.5
332,110,M,2.125,3.141592653589793,-0.5,-0.5,2.0
333,111,A,3.75,0.0,0.0,0.0,1.5
334,111,B,0.5,6.283185307179586,-1.0,0.0,0.5
335,111,M,2.125,3.141592653589793,-0.5,0.0,1.0
336,112,A,3.75,0.0,0.0,0.0,1.5
337,112,B,0.5,6.283185307179586,-1.0,0.0,1.5
338,112,M,2.125,3.141592653589793,-0.5,0.0,1.5
339,113,A,3.75,0.0,0.0,0.0,1.5
340,113,B,0.5,6.283185307179586,-1.0,0.0,2.5
341,113,M,2.125,3.141592653589793,-0.5,0.0,2.0
342,114,A,3.75,0.0,0.0,0.0,1.5
343,114,B,0.5,6.283185307179586,-1.0,1.0,0.5
344,114,M,2.125,3.141592653589793,-0.5,0.5,1.0
345,115,A,3.75,0.0,0.0,0.0,1.5
346,115,B,0.5,6.283185307179586,-1.0,1.0,1.5
347,115,M,2.125,3.141592653589793,-0.5,0.5,1.5
348,116,A,3.75,0.0,0.0,0.0,1.5
349,116,B,0.5,6.283185307179586,-1.0,1.0,2.5
350,116,M,2.125,3.141592653589793,-0.5,0.5,2.0
351,117,A,3.75,0.0,0.0,0.0,1.5
352,117,B,0.5,6.283185307179586,0.0,-1.0,0.5
353,117,M,2.125,3.141592653589793,0.0,-0.5,1.0
354,118,A,3.75,0.0,0.0,0.0,1.5
355,118,B,0.5,6.283185307179586,0.0,-1.0,1.5
356,118,M,2.125,3.141592653589793,0.0,-0.5,1.5
357,119,A,3.75,0.0,0.0,0.0,1.5
358,119,B,0.5,6.283185307179586,0.0,-1.0,2.5
359,119,M,2.125,3.141592653589793,0.0,-0.5,2.0
360,120,A,3.75,0.0,0.0,0.0,1.5
361,120,B,0.5,6.283185307179586,0.0,0.0,0.5
362,120,M,2.125,3.141592653589793,0.0,0.0,1.0
363,121,A,3.75,0.0,0.0,0.0,1.5
364,121,B,0.5,6.283185307179586,0.0,0.0,1.5
365,121,M,2.125,3.141592653589793,0.0,0.0,1.5
366,122,A,3.75,0.0,0.0,0.0,1.5
367,122,B,0.5,6.283185307179586,0.0,0.0,2.5
368,122,M,2.125,3.141592653589793,0.0,0.0,2.0
369,123,A,3.75,0.0,0.0,0.0,1.5
370,123,B,0.5,6.283185307179586,0.0,1.0,0.5
371,123,M,2.125,3.141592653589793,0.0,0.5,1.0
372,124,A,3.75,0.0,0.0,0.0,1.5
373,124,B,0.5,6.283185307179586,0.0,1.0,1.5
374,124,M,2.125,3.141592653589793,0.0,0.5,1.5
375,125,A,3.75,0.0,0.0,0.0,1.5
376,125,B,0.5,6.283185307179586,0.0,1.0,2.5
377,125,M,2.125,3.141592653589793,0.0,0.5,2.0
378,126,A,3.75,0.0,0.0,0.0,1.5
379,126,B,0.5,6.283185307179586,1.0,-1.0,0.5
380,126,M,2.125,3.141592653589793,0.5,-0.5,1.0
381,127,A,3.75,0.0,0.0,0.0,1.5
382,127,B,0.5,6.283185307179586,1.0,-1.0,1.5
383,127,M,2.125,3.141592653589793,0.5,-0.5,1.5
384,128,A,3.75,0.0,0.0,0.0,1.5
385,128,B,0.5,6.283185307179586,1.0,-1.0,2.5
386,128,M,2.125,3.141592653589793,0.5,-0.5,2.0
387,129,A,3.75,0.0,0.0,0.0,1.5
388,129,B,0.5,6.283185307179586,1.0,0.0,0.5
389,129,M,2.125,3.141592653589793,0.5,0.0,1.0
390,130,A,3.75,0.0,0.0,0.0,1.5
391,130,B,0.5,6.283185307179586,1.0,0.0,1.5
392,130,M,2.125,3.141592653589793,0.5,0.0,1.5
393,131,A,3.75,0.0,0.0,0.0,1.5
394,131,B,0.5,6.283185307179586,1.0,0.0,2.5
395,131,M,2.125,3.141592653589793,0.5,0.0,2.0
396,132,A,3.75,0.0,0.0,0.0,1.5
397,132,B,0.5,6.283185307179586,1.0,1.0,0.5
398,132,M,2.125,3.141592653589793,0.5,0.5,1.0
399,133,A,3.75,0.0,0.0,0.0,1.5
400,133,B,0.5,6.283185307179586,1.0,1.0,1.5
401,133,M,2.125,3.141592653589793,0.5,0.5,1.5
402,134,A,3.75,0.0,0.0,0.0,1.5
403,134,B,0.5,6.283185307179586,1.0,1.0,2.5
404,134,M,2.125,3.141592653589793,0.5,0.5,2.0
405,135,A,3.75,0.0,0.0,0.0,1.5
406,135,B,3.75,-6.283185307179586,-1.0,-1.0,0.5
407,135,M,3.75,-3.141592653589793,-0.5,-0.5,1.0
408,136,A,3.75,0.0,0.0,0.0,1.5
409,136,B,3.75,-6.283185307179586,-1.0,-1.0,1.5
410,136,M,3.75,-3.141592653589793,-0.5,-0.5,1.5
411,137,A,3.75,0.0,0.0,0.0,1.5
412,137,B,3.75,-6.283185307179586,-1.0,-1.0,2.5
413,137,M,3.75,-3.141592653589793,-0.5,-0.5,2.0
414,138,A,3.75,0.0,0.0,0.0,1.5
415,138,B,3.75,-6.283185307179586,-1.0,0.0,0.5
416,138,M,3.75,-3.141592653589793,-0.5,0.0,1.0
417,139,A,3.75,0.0,0.0,0.0,1.5
418,139,B,3.75,-6.283185307179586,-1.0,0.0,1.5
419,139,M,3.75,-3.141592653589793,-0.5,0.0,1.5
420,140,A,3.75,0.0,0.0,0.0,1.5
421,140,B,3.75,-6.283185307179586,-1.0,0.0,2.5
422,140,M,3.75,-3.141592653589793,-0.5,0.0,2.0
423,141,A,3.75,0.0,0.0,0.0,1.5
424,141,B,3.75,-6.283185307179586,-1.0,1.0,0.5
425,141,M,3.75,-3.141592653589793,-0.5,0.5,1.0
426,142,A,3.75,0.0,0.0,0.0,1.5
427,142,B,3.75,-6.283185307179586,-1.0,1.0,1.5
428,142,M,3.75,-3.141592653589793,-0.5,0.5,1.5
429,143,A,3.75,0.0,0.0,0.0,1.5
430,143,B,3.75,-6.283185307179586,-1.0,1.0,2.5
431,143,M,3.75,-3.141592653589793,-0.5,0.5,2.0
432,144,A,3.75,0.0,0.0,0.0,1.5
433,144,B,3.75,-6.283185307179586,0.0,-1.0,0.5
434,144,M,3.75,-3.141592653589793,0.0,-0.5,1.0
435,145,A,3.75,0.0,0.0,0.0,1.5
